UniProt_ID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
P11827,-16.42381,16.877024,22.531197,-3.0155947,9.012573,-3.673232,0.47099784,-17.172802,-7.4590154,-17.431707,-13.509771,-12.866461,3.842474,17.088497,12.067644,-23.505861,-5.487508,-1.8151636,2.4141045,12.199434,12.060577,9.877897,-18.651619,9.347509,18.279198,-1.12695,-10.050445,-11.810581,-21.63451,12.481447,18.88226,-5.2403793,-10.683077,-10.818416,-10.118449,-17.639786,-8.888144,5.4069924,12.5938015,-20.91753,-10.657333,-11.246867,-21.38884,1.645117,18.317024,-13.754736,-1.4968507,-9.556265,-4.473969,7.6261616,-2.2898893,8.259319,14.880497,2.4251175,-7.1608725,-4.490565,15.925928,11.913332,-13.06553,-8.02294,-25.471422,-10.081818,20.813152,-9.244997
O75347,-16.704979,21.058165,24.003109,-4.3365984,12.0553,-4.1274443,-0.9273201,-19.209517,-9.8888,-18.913319,-16.195578,-16.013071,4.2282014,21.503706,13.209305,-28.67447,-9.433917,-4.3667192,1.8418293,15.863167,15.169885,13.6095915,-22.504538,14.315866,23.06024,-1.1767673,-14.547745,-12.672991,-26.25762,14.769065,22.739958,-9.700227,-14.889145,-11.860924,-13.983353,-19.05208,-10.25909,7.0692625,14.672048,-24.77173,-12.68432,-15.509904,-27.3146,-1.1468964,22.839556,-16.398132,-2.2037039,-10.2365,-5.851362,8.843903,-3.378589,9.73461,17.546324,3.3765535,-9.5428915,-5.54764,17.175724,11.599643,-14.252081,-9.606422,-29.960573,-13.877294,24.981768,-9.448148
P11655,-19.403921,23.167871,26.883493,-4.058026,13.016629,-4.4879484,-0.2297678,-21.469475,-10.155486,-21.484037,-17.458782,-17.637053,4.3135295,23.692175,14.687726,-31.223984,-10.0807295,-3.9887,1.9104209,16.6657,15.959129,14.808604,-25.235209,15.409749,24.851461,-1.3346065,-15.397217,-14.453265,-27.995087,16.648638,25.404982,-9.724697,-16.107574,-12.805847,-15.222623,-21.407957,-10.675971,7.6839805,15.370891,-27.305155,-13.821365,-16.105135,-30.0323,-0.04738919,24.947588,-18.446806,-2.1174695,-11.66517,-5.5071144,10.542339,-4.0261636,10.185313,19.030306,4.0587115,-10.142947,-5.598698,20.17105,12.900575,-16.918634,-10.673283,-32.614735,-15.729146,27.484804,-10.5642395
O95149,-18.243568,22.671274,27.11024,-5.9201627,14.435629,-3.8894866,-1.4823134,-20.50379,-11.93405,-20.227797,-17.801054,-17.483006,5.0105104,23.343159,15.077252,-32.519367,-9.633866,-5.1833863,2.9887729,17.602463,16.363123,13.922616,-24.997519,15.342498,25.44215,-1.3006914,-15.8686,-13.2436695,-29.369772,15.70536,24.786224,-10.339417,-15.747157,-13.241028,-14.886367,-19.769518,-13.248177,7.7657094,17.053305,-26.485226,-14.210997,-17.402414,-30.211864,-1.8202685,25.801786,-17.871614,-2.7746098,-10.948728,-6.8369155,8.7993355,-3.567436,10.44684,19.740616,4.219365,-10.606236,-6.1812634,18.071115,13.137444,-14.507327,-10.584593,-34.036434,-15.013318,27.721004,-9.823283
P06132,-19.218048,26.291,28.468687,-5.716959,15.892196,-4.607426,-1.7924331,-22.777283,-12.872391,-22.634207,-19.830717,-20.210447,5.0048656,27.160345,15.770596,-36.16446,-12.272202,-6.310531,2.2724285,19.436943,18.60985,16.943598,-28.475607,18.868994,28.52167,-1.2250556,-18.459787,-14.811589,-32.11292,17.744127,28.073156,-13.066304,-19.114573,-14.012853,-18.092073,-22.093138,-12.472041,8.894162,18.13701,-30.286133,-15.486549,-19.85808,-34.61107,-2.6523979,29.058268,-20.282127,-2.5130365,-11.900249,-7.0003395,10.590885,-4.3733845,11.693803,21.334717,4.7701235,-11.757684,-6.5192075,20.404871,13.15586,-16.998926,-11.7761545,-36.901455,-18.30738,30.906946,-10.447255
B4XT64,-17.96857,22.93537,25.992863,-5.089168,13.794406,-4.2205133,-1.316584,-20.68806,-11.275135,-20.239338,-17.584377,-17.571123,4.5927267,23.735847,14.546064,-31.650629,-10.631641,-5.20718,2.1151955,17.266888,16.464836,14.6372795,-25.054962,16.25553,25.02034,-1.2277348,-16.286966,-13.439901,-28.826908,16.087456,25.255497,-10.816719,-16.438108,-12.461409,-15.507961,-19.968681,-11.512167,7.8216352,15.916733,-26.83186,-13.788687,-17.2458,-30.479677,-1.9295056,25.527954,-18.210163,-2.5763931,-10.962858,-6.349825,9.585667,-3.9352155,10.297262,19.233498,4.3757677,-10.732303,-5.9496727,18.390589,12.38128,-15.15243,-10.496097,-32.931293,-15.8998375,27.363777,-9.666794
O75604,-14.788954,20.98263,22.552532,-5.567133,13.92156,-3.2772565,-2.0871978,-17.69494,-11.314571,-17.228508,-15.849243,-16.225233,4.243522,21.914532,12.762936,-29.66505,-10.493842,-5.790906,2.0640378,16.06295,14.9721575,13.51133,-23.094566,15.954745,23.370914,-0.93801576,-15.671387,-11.153307,-26.3208,13.986979,22.68935,-11.226599,-15.593046,-11.074586,-14.789221,-16.41509,-11.324666,7.385939,14.936444,-23.767527,-12.565205,-16.745167,-28.524912,-3.4175727,24.061659,-16.214973,-2.5508292,-9.174705,-6.0501475,7.9665155,-3.730662,9.164436,17.449375,4.3622446,-10.041913,-5.466319,15.394632,10.178387,-12.557168,-9.624849,-30.180653,-15.0889435,25.101635,-7.631078
P26639,-16.665997,20.333523,24.33569,-5.1775093,12.466524,-3.7736232,-1.3414106,-18.955624,-10.542864,-18.08399,-16.068686,-15.509091,4.4060493,21.01453,13.746046,-28.595821,-9.297197,-4.7743607,2.3556945,16.28978,15.166643,12.760124,-22.214842,14.181335,22.846577,-1.1628418,-14.83489,-12.109979,-26.916714,14.688556,22.774858,-9.487174,-14.386398,-11.660048,-13.397642,-18.148874,-11.542326,6.9440727,14.831232,-24.06747,-12.823694,-15.744078,-27.236227,-1.883761,23.038073,-16.363972,-2.8532386,-10.096866,-6.3854165,8.273027,-3.3325565,9.406207,17.944532,3.8688226,-10.165452,-5.6888247,16.338282,11.830287,-13.019121,-9.416929,-30.404058,-13.743849,24.67117,-9.086713
P12425,-13.885302,14.074347,19.61898,-3.7589111,8.117577,-3.1312551,-0.24463116,-14.620914,-7.0804596,-13.931191,-11.995942,-10.677348,3.729494,14.257467,10.92253,-20.30966,-4.9911327,-2.3141813,2.2785053,11.884946,10.895714,8.502034,-15.346553,8.039376,16.359121,-1.2976369,-9.653768,-9.598846,-20.04796,10.85806,16.298746,-4.8975635,-8.850138,-9.481356,-8.201471,-14.47953,-9.519074,4.7955074,11.265829,-17.501001,-9.562855,-10.491086,-18.478565,0.32536376,15.73189,-11.7812195,-2.3096719,-8.103529,-5.111214,5.837825,-1.8659307,7.209501,13.489849,2.264241,-7.11134,-4.51783,12.545147,10.469365,-9.792219,-6.9361157,-22.705925,-8.003994,17.971766,-8.058708
O76095,-10.675403,10.714656,15.354085,-3.0707211,6.4468412,-2.2648501,-0.15950899,-11.085395,-5.588999,-10.779074,-9.16616,-8.188395,3.0226488,10.811531,8.376693,-15.912344,-3.3358002,-1.5669972,2.1187367,8.962521,8.216454,6.269994,-11.796628,5.7162833,12.721303,-0.9306884,-6.982305,-7.3708506,-15.241781,7.978284,12.126877,-3.5287888,-6.5462317,-7.7129273,-6.141951,-11.022145,-7.7422433,3.6259265,9.141518,-13.267525,-7.4088593,-8.001907,-13.942467,0.46760267,12.122783,-8.714378,-1.6317453,-6.177962,-3.9255283,4.1239967,-1.1903889,5.640445,10.336591,1.5292528,-5.1637154,-3.464109,9.585529,8.261213,-7.433164,-5.3942785,-17.635887,-5.7204776,13.934771,-6.2575545
